"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date
Asia,"214,275,435","+21,169","1,536,461",157.0,"198,909,142","+28,708","13,829,832","15,497",,,,,,Asia,2023-02-27
North America,"124,580,169","+16,947","1,611,268",149.0,"119,787,772","+43,175","3,181,129","7,750",,,,,,North America,2023-02-27
Europe,"246,227,059","+55,613","2,016,755",297.0,"241,811,330","+45,101","2,398,974","6,459",,,,,,Europe,2023-02-27
South America,"67,991,811","+15,796","1,350,520",92.0,"66,251,241","+38,668","390,050","10,186",,,,,,South America,2023-02-27
Oceania,"13,996,291","+1,297","26,116",6.0,"13,834,558","+1,186","135,617",64,,,,,,Australia/Oceania,2023-02-27
Africa,"12,793,643","+1,451","258,581",4.0,"12,075,067",+483,"459,995",547,,,,,,Africa,2023-02-27
,721,,15,,706,,0,0,,,,,,,2023-02-27
World,"679,853,463","+111,220","6,799,552",673.0,"652,669,816","+157,321","20,384,095","40,505","87,219",872.3,,,,All,2023-02-27
China,"503,302",,"5,272",,"379,053",,"118,977","7,557",347,4,"160,000,000","110,461","1,448,471,400",Asia,2023-02-27
USA,"105,266,332","+5,825","1,145,415",50.0,"102,654,350","+33,706","1,466,567","2,586","314,411","3,421","1,166,805,671","3,485,028","334,805,269",North America,2023-02-27
India,"44,686,371",+169,"530,771",1.0,"44,153,343",+140,"2,257",,"31,768",377,"918,535,118","653,003","1,406,631,776",Asia,2023-02-27
France,"39,616,580",+841,"164,929",52.0,"39,383,240","+4,999","68,411",869,"604,054","2,515","271,490,188","4,139,547","65,584,518",Europe,2023-02-27
Germany,"38,144,033","+32,970","167,951",139.0,"37,679,400","+17,900","296,682",,"454,726","2,002","122,332,384","1,458,359","83,883,596",Europe,2023-02-27
Brazil,"37,038,230","+13,813","699,006",59.0,"36,216,411","+30,436","122,813",,"171,988","3,246","63,776,166","296,146","215,353,593",South America,2023-02-27
Japan,"33,190,564","+5,598","72,320",52.0,"21,683,904","+1,535","11,434,340",170,"264,288",576,"95,014,492","756,576","125,584,838",Asia,2023-02-27
S. Korea,"30,502,904","+4,026","33,961",15.0,"30,278,033",,"190,910",163,"594,252",662,"15,804,065","307,892","51,329,899",Asia,2023-02-27
Italy,"25,576,852",,"188,094",,"25,219,653",,"169,105",133,"424,422","3,121","267,663,187","4,441,601","60,262,770",Europe,2023-02-27
UK,"24,341,615",,"206,246",,"24,084,330","+3,549","51,039",,"355,363","3,011","522,526,476","7,628,357","68,497,907",Europe,2023-02-27
Russia,"22,262,717","+9,580","396,065",30.0,"21,600,487","+9,250","266,165",,"152,687","2,716","273,400,000","1,875,095","145,805,947",Europe,2023-02-27
Turkey,"17,042,722",,"101,492",,,,,,"199,186","1,186","162,743,369","1,902,052","85,561,976",Asia,2023-02-27
Spain,"13,763,336",,"119,380",,"13,607,068",,"36,888",231,"294,597","2,555","471,036,328","10,082,298","46,719,142",Europe,2023-02-27
Vietnam,"11,526,905",+4,"43,186",,"10,614,763",+3,"868,956",4,"116,488",436,"85,826,548","867,342","98,953,541",Asia,2023-02-27
Australia,"11,366,361",,"19,373",,"11,314,814",,"32,174",36,"436,014",743,"78,835,048","3,024,116","26,068,792",Australia/Oceania,2023-02-27
Argentina,"10,044,125",,"130,463",,"9,909,871",+913,"3,791",363,"218,302","2,836","35,716,069","776,264","46,010,234",Asia,2023-02-27
Taiwan,"10,033,107","+7,744","17,908",44.0,"9,690,990","+23,339","324,209",,"419,996",750,"30,742,304","1,286,903","23,888,595",South America,2023-02-27
Netherlands,"8,594,150",+857,"22,992",,"8,558,606",+479,"12,552",53,"499,328","1,336","25,984,435","1,509,718","17,211,447",Europe,2023-02-27
Iran,"7,567,824",+122,"144,845",3.0,"7,339,283",+78,"83,696",282,"87,975","1,684","55,034,937","639,771","86,022,837",Asia,2023-02-27
Mexico,"7,450,992","+7,841","332,986",48.0,"6,687,704","+7,415","430,302",,"56,635","2,531","19,571,192","148,759","131,562,772",North America,2023-02-27
Indonesia,"6,735,780",+152,"160,911",3.0,"6,571,457",+270,"3,412",,"24,131",576,"114,158,919","408,975","279,134,505",Asia,2023-02-27
Poland,"6,415,708",+429,"118,868",,"5,335,940",,"960,900",696,"169,999","3,150","38,260,137","1,013,788","37,739,785",Europe,2023-02-27
